Country,Data source,Sector,Gas,Unit,2010,2011,2012,2013,2014,2015,2016,2017,emm2018
China,CAIT,Total including LUCF,All GHG,MtCO₂e,9872.37,10364.83,10690.04,11144.76,11155.76,11149.68,11207.66,11408.26,11705.81
United States,CAIT,Total including LUCF,All GHG,MtCO₂e,6041.59,5796.78,5550.87,5690.79,5711.15,5586.69,5676.92,5613.64,5794.35
India,CAIT,Total including LUCF,All GHG,MtCO₂e,2576.93,2610.32,2758.53,2816.49,2988.34,3002.17,3073.24,3202.82,3346.63
EU (27),CAIT,Total including LUCF,All GHG,MtCO₂e,3646.5,3274.4,3213.21,3136.34,2990.49,3046.38,3387.97,3401.95,3333.16
Russia,CAIT,Total including LUCF,All GHG,MtCO₂e,1690.93,1864.86,1886.41,1844.48,1841.26,1791.21,1918.26,1939.26,1992.08
Indonesia,CAIT,Total including LUCF,All GHG,MtCO₂e,1125.25,1675.72,1695.27,1636.17,2016.28,2070.24,1453.23,1466.05,1703.86
Brazil,CAIT,Total including LUCF,All GHG,MtCO₂e,2104.61,1270.59,1311.58,1335.02,1372.79,1354.28,1443.98,1461.43,1420.58
Japan,CAIT,Total including LUCF,All GHG,MtCO₂e,1130.13,1235.29,1277.48,1289,1251.32,1215.33,1225.67,1203.32,1154.72
Iran,CAIT,Total including LUCF,All GHG,MtCO₂e,699.33,750.7,761.05,781.95,794.19,786.5,796.03,814.79,828.34
Germany,CAIT,Total including LUCF,All GHG,MtCO₂e,862.97,823.34,837.46,854.7,814.43,818.22,820.7,803.18,776.61
Canada,CAIT,Total including LUCF,All GHG,MtCO₂e,975.84,825.24,830.07,841.21,848.12,844.67,731.11,745.74,763.44
Mexico,CAIT,Total including LUCF,All GHG,MtCO₂e,584.23,680.75,674.16,668.85,659.98,684.99,698.62,694.58,695.26
Democratic Republic of the Congo,CAIT,Total including LUCF,All GHG,MtCO₂e,444.19,678.57,677.83,682.12,682.66,685.35,685.22,686.17,681.67
South Korea,CAIT,Total including LUCF,All GHG,MtCO₂e,586.31,620.34,624.83,624.54,613.81,635.34,651.13,664.54,673.08
Saudi Arabia,CAIT,Total including LUCF,All GHG,MtCO₂e,514.56,534.21,568.1,585.81,629.39,660.37,664.17,656.08,638.12
Australia,CAIT,Total including LUCF,All GHG,MtCO₂e,601.14,644.74,643.12,555.26,566.21,566.47,577.32,623.08,619.26
South Africa,CAIT,Total including LUCF,All GHG,MtCO₂e,506.27,490.65,509.55,519.44,531.53,507.48,508.24,521.36,520.5
Turkey,CAIT,Total including LUCF,All GHG,MtCO₂e,331.37,337.24,351.35,342.57,367.45,374.18,432.17,474.03,473.87
United Kingdom,CAIT,Total including LUCF,All GHG,MtCO₂e,583.6,540.98,562.45,543.71,502.84,486.78,464.28,450.24,441.13
Pakistan,CAIT,Total including LUCF,All GHG,MtCO₂e,321.54,328.63,332.43,342.88,356.49,371.24,396.4,421.6,438.22
Thailand,CAIT,Total including LUCF,All GHG,MtCO₂e,329.44,363.65,386.03,397.19,393.87,395.67,410.92,428.94,431.22
Argentina,CAIT,Total including LUCF,All GHG,MtCO₂e,429.81,410.64,414.84,424.7,421.76,428.37,396.27,397.7,395.5
Malaysia,CAIT,Total including LUCF,All GHG,MtCO₂e,379.15,155.6,155.92,174.34,205.53,191.89,378.56,365,388.11
Italy,CAIT,Total including LUCF,All GHG,MtCO₂e,450.75,439.93,422.08,390.27,370.58,381.49,398.64,393.01,386.78
Vietnam,CAIT,Total including LUCF,All GHG,MtCO₂e,277.74,235.82,236.38,248.78,261.78,305.32,330.21,328.33,364.43
France,CAIT,Total including LUCF,All GHG,MtCO₂e,404.32,392.42,395.28,396.16,363.05,369.04,368.04,370.47,361.37
Nigeria,CAIT,Total including LUCF,All GHG,MtCO₂e,281.15,299.26,303.64,318.11,327.77,323.23,330.64,337.4,357.52
Poland,CAIT,Total including LUCF,All GHG,MtCO₂e,320.3,360.67,353.7,348.35,335.26,339.15,344.31,357.17,356.74
Egypt,CAIT,Total including LUCF,All GHG,MtCO₂e,276.27,284.1,294.89,292.15,298.19,307.26,315.96,320.55,329.4
Spain,CAIT,Total including LUCF,All GHG,MtCO₂e,330.31,340.98,334.71,308.62,307.09,317.67,301.97,318.35,313.06
Venezuela,CAIT,Total including LUCF,All GHG,MtCO₂e,348.48,368.02,387.66,392.76,394.2,379.78,301.07,286.63,277.26
Kazakhstan,CAIT,Total including LUCF,All GHG,MtCO₂e,275.78,284.28,284.28,297.58,248.23,249.48,271.53,280.59,271.23
Colombia,CAIT,Total including LUCF,All GHG,MtCO₂e,244.95,223.5,221.94,228.65,232.02,233.78,264.21,260.61,267.95
United Arab Emirates,CAIT,Total including LUCF,All GHG,MtCO₂e,208.58,214.63,226.57,237.63,240.02,252.85,259.65,269.82,263.24
Ukraine,CAIT,Total including LUCF,All GHG,MtCO₂e,345.37,376.94,364.85,353.9,317.98,265.08,277.97,251.96,262.43
Philippines,CAIT,Total including LUCF,All GHG,MtCO₂e,163.75,165.75,170.9,182.28,190.12,199.22,212.04,228.35,234.82
Uzbekistan,CAIT,Total including LUCF,All GHG,MtCO₂e,226.78,239.23,227.25,229.83,222.96,219.73,227.54,231.55,232.14
Myanmar,CAIT,Total including LUCF,All GHG,MtCO₂e,232.44,202.7,211.26,213.95,221.49,227.79,221.28,229.98,231.62
Bangladesh,CAIT,Total including LUCF,All GHG,MtCO₂e,178.5,183.76,187.33,190.85,195.62,204.52,205.26,214.18,220.75
Algeria,CAIT,Total including LUCF,All GHG,MtCO₂e,171.63,179.41,189.38,193.39,203.53,211.46,210.03,212.33,219.11
Iraq,CAIT,Total including LUCF,All GHG,MtCO₂e,141.36,153.68,175.68,186.98,193.77,185.86,197.79,201.29,216.19
Ethiopia,CAIT,Total including LUCF,All GHG,MtCO₂e,163.85,166.05,173.67,180.17,188.21,193.58,199.92,203.35,204.67
Peru,CAIT,Total including LUCF,All GHG,MtCO₂e,149.77,177.04,177.42,178.81,182.2,183.85,187.96,185.87,186.18
Netherlands,CAIT,Total including LUCF,All GHG,MtCO₂e,203.24,190.26,188.48,188.06,180.75,189.7,189.52,185.91,179.99
Tanzania,CAIT,Total including LUCF,All GHG,MtCO₂e,136.69,140.84,148.15,152.42,155.92,164.65,176.81,175.49,175.57
Sudan,CAIT,Total including LUCF,All GHG,MtCO₂e,116.64,116.09,120.84,121.16,122.35,125.99,130.01,129.91,130.64
Bolivia,CAIT,Total including LUCF,All GHG,MtCO₂e,122.67,111.42,111.8,111.88,112.39,115.51,126.36,125.32,126.21
Turkmenistan,CAIT,Total including LUCF,All GHG,MtCO₂e,91.9,101.66,108.94,114.27,119.77,126.15,125.94,125.62,125.08
Angola,CAIT,Total including LUCF,All GHG,MtCO₂e,133.35,133.54,133.21,135.41,136.5,139.09,138.85,137.32,124.59
Cameroon,CAIT,Total including LUCF,All GHG,MtCO₂e,127.86,119.25,118.77,120.1,120.46,121.47,122.84,122.84,123.33
Zimbabwe,CAIT,Total including LUCF,All GHG,MtCO₂e,39.3,42.04,42.36,42.42,40.84,42.89,116.52,116.09,118.77
Czech Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,127.45,128.14,124.74,119.45,116.73,118.65,118.28,118.3,117.03
Kuwait,CAIT,Total including LUCF,All GHG,MtCO₂e,89.21,93.58,97.45,100.55,100.31,106.21,109.84,111.46,112.97
Mozambique,CAIT,Total including LUCF,All GHG,MtCO₂e,104.37,93.75,97.79,99.38,99.78,98.9,107.78,106.39,110.07
Belgium,CAIT,Total including LUCF,All GHG,MtCO₂e,121.44,109.82,109.23,110.5,104.09,109.16,110.52,108.41,108.91
Chad,CAIT,Total including LUCF,All GHG,MtCO₂e,73.18,84.86,88.03,89.7,92.23,97.44,100.19,102.15,105.06
Libya,CAIT,Total including LUCF,All GHG,MtCO₂e,145.81,115.16,117.93,109.15,102.27,84.88,86.62,96.58,103.04
Qatar,CAIT,Total including LUCF,All GHG,MtCO₂e,68.84,72.84,80.86,82.7,88.94,92.46,94.7,97.34,99.83
Afghanistan,CAIT,Total including LUCF,All GHG,MtCO₂e,45.03,58.41,66.5,74.55,84.37,93.48,95.53,97.45,99.08
Paraguay,CAIT,Total including LUCF,All GHG,MtCO₂e,97.24,110.36,111.63,113.28,115.13,115.54,94.16,97.1,95.29
Zambia,CAIT,Total including LUCF,All GHG,MtCO₂e,68.23,82.69,86.73,88.17,89.04,94.32,93.51,93.87,93.23
Morocco,CAIT,Total including LUCF,All GHG,MtCO₂e,72.5,80.73,83,83.82,85.61,88.35,86.73,91.16,92.35
Ecuador,CAIT,Total including LUCF,All GHG,MtCO₂e,90.38,79.83,81.06,84.03,84.87,83.48,91.17,90.21,91.84
Israel,CAIT,Total including LUCF,All GHG,MtCO₂e,89.32,89.54,96.67,88.51,87.1,89.46,89.51,91.14,87.92
Central African Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,78.74,83.04,80.14,80.65,79.57,83.31,90.99,86.67,87.07
Greece,CAIT,Total including LUCF,All GHG,MtCO₂e,107.1,107.17,102.01,94.37,91.31,89.58,88.31,87.92,86.14
Romania,CAIT,Total including LUCF,All GHG,MtCO₂e,112.18,-165.52,-168.24,-177.81,-178.71,-177.03,82.96,85.69,86.13
Oman,CAIT,Total including LUCF,All GHG,MtCO₂e,52.48,58.73,65.34,68.28,72.07,76.26,77.85,78.51,82.32
Azerbaijan,CAIT,Total including LUCF,All GHG,MtCO₂e,77.18,79.47,80.64,80.18,80.36,79.18,79.97,78.61,78.35
